"Component ID","Core Module Path","Primary Role in Engine"
"cc-vfs","core/engine/src/vfs.rs","In‑memory repo mirror, SHA and Base64 aware."
"cc-token-walker","core/engine/src/token_walker.rs","Low‑level, no‑std style tokenizer for CC‑tags."
"cc-gh-bridge","core/engine/src/gh_bridge.rs","Typed Rust interface to JS GitHub API helpers."
"cc-path","core/engine/src/path.rs","Normalization, depth enforcement, path integrity."
"cc-sitq","core/engine/src/taskqueue.rs","Single‑iteration multi‑task executor over VFS."
"cc-base64","core/engine/src/base64.rs","Pure Rust Base64 codec for GitHub content."
"cc-breaker","core/engine/src/breaker.rs","Circuit breaker around external GitHub calls."
"cc-panic","core/engine/src/panic.rs","WASM panic hook, UI‑friendly error propagation."
"cc-diff","core/engine/src/diff.rs","Myers diff and unified patch generation."
"cc-policy","core/engine/src/policy.rs","ALN/Markdown policy parsing and active tag discovery."
